movieId,tmdbId,id,title,genres,original_language,popularity,overview,short_overview
1,862,862,Toy Story,"['Animation', 'Comedy', 'Family']",en,21.946943,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",Woody and Buzz overcome rivalry to reunite with Andy.
2,8844,8844,Jumanji,"['Adventure', 'Fantasy', 'Family']",en,17.015539,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.","Siblings play enchanted game, freeing trapped adult and facing danger."
3,15602,15602,Grumpier Old Men,"['Romance', 'Comedy']",en,11.7129,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",Wedding feud reignites between neighbors; divorcée stirs romantic tensions.
4,31357,31357,Waiting to Exhale,"['Comedy', 'Drama', 'Romance']",en,3.859495,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.","Women seek better relationships, discussing experiences with friends for support."
5,11862,11862,Father of the Bride Part II,['Comedy'],en,8.387519,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",George faces unexpected changes with news of two pregnancies.
8,45325,45325,Tom and Huck,"['Action', 'Adventure', 'Drama', 'Family']",en,2.561161,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",Tom Sawyer witnesses a murder and navigates friendship and loyalty.
10,710,710,GoldenEye,"['Adventure', 'Action', 'Thriller']",en,14.686036,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,Bond must stop Janus leader from using GoldenEye against Britain.
11,9087,9087,The American President,"['Comedy', 'Drama', 'Romance']",en,6.318445,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.","Widowed president pursues lobbyist, causing rumors and approval decline."
12,12110,12110,Dracula: Dead and Loving It,"['Comedy', 'Horror']",en,5.430331,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",Lawyer becomes vampire's ally; only van Helsing can stop him.
13,21032,21032,Balto,"['Family', 'Animation', 'Adventure']",en,12.140733,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",Half-wolf outcast risks everything to stop Nome's deadly epidemic.
14,10858,10858,Nixon,"['History', 'Drama']",en,5.092,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.","Nixon's life: a struggle with power, turmoil, and Watergate scandal."
15,1408,1408,Cutthroat Island,"['Action', 'Adventure']",en,7.284477,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",Morgan and William seek treasure map pieces while facing challenges.
17,4584,4584,Sense and Sensibility,"['Drama', 'Romance']",en,10.673167,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",Mr. Dashwood's death leaves his wife and daughters impoverished.
18,5,5,Four Rooms,"['Crime', 'Comedy']",en,9.026586,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,"Ted's first night as a bellhop brings outrageous, unexpected events."
19,9273,9273,Ace Ventura: When Nature Calls,"['Crime', 'Comedy', 'Adventure']",en,8.205448,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",Ace's quest: rescue sacred animal to prevent tribal war.
20,11517,11517,Money Train,"['Action', 'Comedy', 'Crime']",en,7.337906,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",Vengeful cop steals subway fares; brother cop attempts protection.
